gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
ENSG00000214128,21.34803650466349,-0.37956096000349765,0.11262934145902632,5.128655823989453e-4,7.029031875219574e-4,TMEM213,
ENSG00000214135,921.3295859213532,-0.14731136312787266,0.04023536397865529,2.4634834666772493e-4,3.430902939642779e-4,AC132008.2,
ENSG00000214140,410.71064448231596,-1.600808595781582,0.10380591792165475,1.9451973031471234e-54,8.710725823752963e-54,PRCD,
ENSG00000214160,926.4962537141676,0.5414587151730246,0.050370547156491044,4.7065019015280006e-27,1.3007840692709784e-26,ALG3,
ENSG00000214174,495.1100377906782,-0.5304352112606773,0.06024898432294909,9.935365763658562e-19,2.2644608887144537e-18,AMZ2P1,
ENSG00000214176,1174.6958421553975,0.9033224640712004,0.0534503894384583,1.9042325111136963e-64,9.898087297470848e-64,PLEKHM1P1,
ENSG00000214189,190.61829659839088,0.008869723369126413,0.05914906293750926,0.8804768888204904,0.8923606259702147,ZNF788P,
ENSG00000214193,1626.7106115598583,1.863341320412287,0.06863131648394562,6.5088489333675456e-164,1.0178898693386837e-162,SH3D21,
ENSG00000214194,1327.3108960344784,-0.8105021288075109,0.03145819457741865,1.240449222428021e-146,1.6796902585664678e-145,SMIM30,
ENSG00000214198,50.5854155076255,0.5945348504506082,0.07745241467173364,9.396232927285102e-15,1.9110055372649675e-14,TTC41P,
ENSG00000214199,6.450849065301388,-0.13899788495097273,0.11205112471538557,0.2103315744710599,0.23635800947919736,EEF1A1P12,
ENSG00000214203,5.68313558983668,0.6343053076763703,0.1274100674144226,4.4456298452503663e-7,7.007197983163297e-7,RPS4XP1,
ENSG00000214210,33.13416912697778,0.19465111168800409,0.07266897395543437,0.00712705577415556,0.009102035106328964,AC084017.1,
ENSG00000214212,37.336673571842525,-0.37321664792710146,0.0753303516451855,6.601910907284844e-7,1.0338669855841105e-6,C19orf38,
ENSG00000214226,88.9211176346268,0.17442196621670486,0.06769941316880015,0.009588247576890611,0.012114979485972477,C17orf67,
ENSG00000214253,2707.9056064296105,-0.5624318792131918,0.03507785730058537,5.6620660060059775e-58,2.678059954740776e-57,FIS1,
ENSG00000214265,120.5952539292468,-0.45113570841772604,0.06157663229231402,1.8757105872775433e-13,3.672997068104258e-13,AC124312.1,
