TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.60.10.10	-	0.515332457044339	-0.662943038935751	24	1	0.00395256916996047	253	8522	80820	EEPD1
3.40.525.10	-	0.515332457044339	-0.662943038935751	24	1	0.00395256916996047	253	8522	6017	RLBP1
3.10.250.10	-	0.529761839065011	-0.635327733683241	25	1	0.00395256916996047	253	8522	3249	HPN
2.60.40.790	-	0.543763281307604	-0.609241271484243	26	1	0.00395256916996047	253	8522	126393	HSPB6
1.10.840.10	-	0.557349426523584	-0.584562899081126	27	1	0.00395256916996047	253	8522	9771	RAPGEF5
4.10.1240.10	-	0.557349426523584	-0.584562899081126	27	1	0.00395256916996047	253	8522	5745	PTH1R
1.10.1450.10	-	0.570532545426543	-0.56118506410899	28	1	0.00395256916996047	253	8522	10098	TSPAN5
3.40.50.12780	-	0.595736991844332	-0.517955998165159	30	1	0.00395256916996047	253	8522	11001	SLC27A2
1.20.900.10	-	0.620099865291581	-0.477874740862934	70	2	0.00790513833992095	253	8522	84033,57449	OBSCN,PLEKHG5
3.90.1150.10	-	0.641810667645263	-0.443461928996615	34	1	0.00395256916996047	253	8522	2875	GPT
2.40.128.20	-	0.672898430050808	-0.396160881899803	37	1	0.00395256916996047	253	8522	5375	PMP2
3.40.640.10	-	0.710207428970125	-0.342198198136244	41	1	0.00395256916996047	253	8522	2875	GPT
3.20.20.70	-	0.735379075314829	-0.307369163994305	44	1	0.00395256916996047	253	8522	54511	HMGCLL1
2.70.170.10	-	0.750937928678115	-0.286432282194264	46	1	0.00395256916996047	253	8522	8001	GLRA3
1.10.565.10	-	0.765585375122726	-0.267114541530124	48	1	0.00395256916996047	253	8522	6097	RORC
4.10.280.10	-	0.860618292047936	-0.150104203809406	115	2	0.00790513833992095	253	8522	54937,3399	SOHLH2,ID3
3.40.390.10	-	0.916530479353836	-0.0871599560045788	82	1	0.00395256916996047	253	8522	80332	ADAM33
3.90.190.10	-	0.928315752446979	-0.0743833535863463	87	1	0.00395256916996047	253	8522	23371	TNS2
1.25.40.20	-	0.93693093524494	-0.0651457078435125	245	4	0.0158102766798419	253	8522	374569,441430,92591,288	ASPG,ANKRD20A2,ASB16,ANK3
3.40.50.1820	-	0.958588707002365	-0.0422931730454183	105	1	0.00395256916996047	253	8522	4232	MEST
1.10.10.10	-	0.970362108781245	-0.0300859691249097	231	3	0.0118577075098814	253	8522	9771,2078,64798	RAPGEF5,ERG,DEPTOR
1.25.10.10	-	0.978219173584511	-0.0220215301851972	189	2	0.00790513833992095	253	8522	23500,387755	DAAM2,INSC
2.130.10.10	-	0.98923657224169	-0.0108217724840458	327	4	0.0158102766798419	253	8522	27019,349136,79816,84940	DNAI1,WDR86,TLE6,CORO6
3.30.40.10	-	0.992587944656889	-0.00743966112027234	445	6	0.0237154150197628	253	8522	55016,51283,79444,54843,29951,6941	MARCH1,BFAR,BIRC7,SYTL2,PDZRN4,TCF19
3.30.70.330	-	0.995007101380612	-0.00500540478307147	244	2	0.00790513833992095	253	8522	80004,10231	ESRP2,RCAN2
1.25.40.10	-	0.997825521437146	-0.0021768461741999	201	1	0.00395256916996047	253	8522	10811	NOXA1
1.20.1270.50	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
3.20.90.10	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.20.28.130	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.80.10.70	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
2.60.40.1860	-	0.999999999980217	-1.97825863594738e-11	5	0	0	253	8522
